"Race","Sex","Age","lx"
"Total","Female","0",1e+05
"Total","Female","1",99512.9227739716
"Total","Female","2",98987.2875431799
"Total","Female","3",98934.1382227097
"Total","Female","4",98900.0535053767
"Total","Female","5",98874.909690331
"Total","Female","6",98853.5600175259
"Total","Female","7",98832.6752524843
"Total","Female","8",98812.1285289903
"Total","Female","9",98793.3861227036
"Total","Female","10",98772.1625977894
"Total","Female","11",98749.8165866251
"Total","Female","12",98723.4438819487
"Total","Female","13",98694.3053451843
"Total","Female","14",98660.9095533379
"Total","Female","15",98618.9904041395
"Total","Female","16",98572.5599489077
"Total","Female","17",98518.9226999916
"Total","Female","18",98458.15609224
"Total","Female","19",98390.3503634285
"Total","Female","20",98315.3172538037
"Total","Female","21",98232.3688444544
"Total","Female","22",98142.2687369279
"Total","Female","23",98046.2253848318
"Total","Female","24",97943.2474099088
"Total","Female","25",97834.0184130647
"Total","Female","26",97717.7108817633
"Total","Female","27",97592.7293403468
"Total","Female","28",97460.4465689501
"Total","Female","29",97318.9869778934
"Total","Female","30",97170.5514394608
"Total","Female","31",97014.7530443944
"Total","Female","32",96852.8759870376
"Total","Female","33",96686.7818478026
"Total","Female","34",96515.0620019646
"Total","Female","35",96339.2306717071
"Total","Female","36",96157.5235604275
"Total","Female","37",95965.9983569145
"Total","Female","38",95764.1063547611
"Total","Female","39",95549.9488303002
"Total","Female","40",95323.5427015471
"Total","Female","41",95083.7433679005
"Total","Female","42",94827.7352472183
"Total","Female","43",94553.1206900625
"Total","Female","44",94256.0786723975
"Total","Female","45",93935.6819934228
"Total","Female","46",93586.2765265818
"Total","Female","47",93202.3531952966
"Total","Female","48",92786.43158688
"Total","Female","49",92336.2009952583
"Total","Female","50",91847.9225704519
"Total","Female","51",91323.3470803014
"Total","Female","52",90762.6825835748
"Total","Female","53",90157.2838540362
"Total","Female","54",89501.7153899746
"Total","Female","55",88789.1535495436
"Total","Female","56",88012.1144837324
"Total","Female","57",87165.4211063019
"Total","Female","58",86242.993258025
"Total","Female","59",85238.1805396314
"Total","Female","60",84142.2096924716
"Total","Female","61",82946.416909019
"Total","Female","62",81641.2000839356
"Total","Female","63",80228.4020115611
"Total","Female","64",78706.7282790434
"Total","Female","65",77065.427382115
"Total","Female","66",75303.0998681974
"Total","Female","67",73424.3876335243
"Total","Female","68",71442.6373200448
"Total","Female","69",69348.1961304343
"Total","Female","70",67153.8755095118
"Total","Female","71",64873.0911329804
"Total","Female","72",62490.6234637921
"Total","Female","73",60000.7945733341
"Total","Female","74",57413.6273010101
"Total","Female","75",54761.0683559383
"Total","Female","76",52051.5089178043
"Total","Female","77",49265.2967616201
"Total","Female","78",46429.9286336609
"Total","Female","79",43583.2401757806
"Total","Female","80",40723.184486301
"Total","Female","81",37852.1022857124
"Total","Female","82",34956.1696670507
"Total","Female","83",32040.8008497806
"Total","Female","84",29130.1396166001
"Total","Female","85",26249.3230169363
"Total","Female","86",23423.0760163466
"Total","Female","87",20675.4710143561
