"Race","Sex","Age","Population"
"Total","Male",0,60010
"Total","Male",1,60618
"Total","Male",2,61773
"Total","Male",3,63240
"Total","Male",4,65353
"Total","Male",5,67380
"Total","Male",6,68901
"Total","Male",7,70037
"Total","Male",8,71296
"Total","Male",9,72664
"Total","Male",10,73609
"Total","Male",11,74000
"Total","Male",12,73853
"Total","Male",13,73321
"Total","Male",14,72633
"Total","Male",15,71719
"Total","Male",16,71160
"Total","Male",17,70766
"Total","Male",18,70465
"Total","Male",19,69925
"Total","Male",20,68659
"Total","Male",21,66989
"Total","Male",22,65260
"Total","Male",23,63968
"Total","Male",24,63145
"Total","Male",25,62705
"Total","Male",26,62173
"Total","Male",27,61563
"Total","Male",28,60772
"Total","Male",29,59674
"Total","Male",30,58510
"Total","Male",31,57281
"Total","Male",32,56191
"Total","Male",33,55094
"Total","Male",34,53895
"Total","Male",35,52562
"Total","Male",36,50931
"Total","Male",37,49245
"Total","Male",38,47703
"Total","Male",39,46470
"Total","Male",40,45670
"Total","Male",41,45227
"Total","Male",42,45169
"Total","Male",43,45457
"Total","Male",44,45942
"Total","Male",45,46375
"Total","Male",46,46551
"Total","Male",47,46481
"Total","Male",48,46205
"Total","Male",49,45772
"Total","Male",50,45242
"Total","Male",51,44636
"Total","Male",52,43948
"Total","Male",53,43171
"Total","Male",54,42355
"Total","Male",55,41484
"Total","Male",56,40403
"Total","Male",57,39123
"Total","Male",58,37750
"Total","Male",59,36318
"Total","Male",60,34808
"Total","Male",61,33220
"Total","Male",62,31636
"Total","Male",63,30138
"Total","Male",64,28715
"Total","Male",65,27245
"Total","Male",66,25604
"Total","Male",67,23994
"Total","Male",68,22588
"Total","Male",69,21367
"Total","Male",70,20390
"Total","Male",71,19509
"Total","Male",72,18573
"Total","Male",73,17598
"Total","Male",74,16595
"Total","Male",75,15573
"Total","Male",76,14493
"Total","Male",77,13390
"Total","Male",78,12356
"Total","Male",79,11350
"Total","Male",80,10348
"Total","Male",81,9376
"Total","Male",82,8453
"Total","Male",83,7583
"Total","Male",84,6764
"Total","Male",85,5999
"Total","Male",86,5287
"Total","Male",87,4620
"Total","Male",88,3996
"Total","Male",89,3417
"Total","Male",90,2882
"Total","Male",91,2390
"Total","Male",92,1961
"Total","Male",93,1586
"Total","Male",94,1266
"Total","Male",95,997
"Total","Male",96,774
"Total","Male",97,591
"Total","Male",98,446
"Total","Male",99,334
"Total","Male",100,809
"Total","Female",0,57858
"Total","Female",1,58534
"Total","Female",2,59582
"Total","Female",3,60944
"Total","Female",4,62926
"Total","Female",5,64830
"Total","Female",6,66259
"Total","Female",7,67335
"Total","Female",8,68531
"Total","Female",9,69816
"Total","Female",10,70714
"Total","Female",11,71134
"Total","Female",12,71139
"Total","Female",13,70915
"Total","Female",14,70593
"Total","Female",15,70076
"Total","Female",16,69816
"Total","Female",17,69693
"Total","Female",18,69675
"Total","Female",19,69472
"Total","Female",20,68716
"Total","Female",21,67565
"Total","Female",22,66388
"Total","Female",23,65661
"Total","Female",24,65421
"Total","Female",25,65572
"Total","Female",26,65634
"Total","Female",27,65616
"Total","Female",28,65404
"Total","Female",29,64858
"Total","Female",30,64189
"Total","Female",31,63474
"Total","Female",32,62923
"Total","Female",33,62443
"Total","Female",34,61970
"Total","Female",35,61444
"Total","Female",36,60689
"Total","Female",37,59829
"Total","Female",38,58960
"Total","Female",39,58171
"Total","Female",40,57567
"Total","Female",41,57120
"Total","Female",42,56894
"Total","Female",43,56889
"Total","Female",44,56975
"Total","Female",45,56889
"Total","Female",46,56437
"Total","Female",47,55673
"Total","Female",48,54686
"Total","Female",49,53564
"Total","Female",50,52377
"Total","Female",51,51151
"Total","Female",52,49907
"Total","Female",53,48644
"Total","Female",54,47415
"Total","Female",55,46189
"Total","Female",56,44793
"Total","Female",57,43238
"Total","Female",58,41641
"Total","Female",59,40028
"Total","Female",60,38356
"Total","Female",61,36632
"Total","Female",62,34945
"Total","Female",63,33371
"Total","Female",64,31889
"Total","Female",65,30347
"Total","Female",66,28618
"Total","Female",67,26901
"Total","Female",68,25376
"Total","Female",69,24043
"Total","Female",70,22981
"Total","Female",71,22025
"Total","Female",72,21007
"Total","Female",73,19946
"Total","Female",74,18861
"Total","Female",75,17759
"Total","Female",76,16600
"Total","Female",77,15424
"Total","Female",78,14324
"Total","Female",79,13250
"Total","Female",80,12165
"Total","Female",81,11100
"Total","Female",82,10077
"Total","Female",83,9100
"Total","Female",84,8170
"Total","Female",85,7285
"Total","Female",86,6444
"Total","Female",87,5646
"Total","Female",88,4894
"Total","Female",89,4188
"Total","Female",90,3530
"Total","Female",91,2925
"Total","Female",92,2395
"Total","Female",93,1931
"Total","Female",94,1534
"Total","Female",95,1202
"Total","Female",96,923
"Total","Female",97,695
"Total","Female",98,514
"Total","Female",99,375
"Total","Female",100,880
