"year","f_A","m_M","m_F","sr_A","int_mig","iim_M","iim_F","iom_M","iom_F","idm_M","idm_F","odm_M","odm_F"
NA,"fertility","mortality","mortality","sex ratio at birth","internal migration change","net international in-migrants","net international in-migrants","net international out-migrants","net international out-migrants","domestic in-migration","domestic in-migration","domestic out-migration","domestic out-migration"
NA,"Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total"
NA,NA,"male","female",NA,"Total","male","female","male","female","male","female","male","female"
2020,"1.80311881","66.9708946","74.93853908","103.84888438096","1","1383.90962409904","2192.07972034618","1188.62561809832","730.773822599673","1","1","1","1"
2021,"1.74463657006","65.260262","73.79917542","103.855275280677","0.99696334","1383.90962409904","2192.07972034618","1188.62561809832","730.773822599673","0.99696334","0.99696334","0.99696334","0.99696334"
2022,"1.6828076133","71.40236203","77.72256118","103.86168939977","0.99696334","1383.90962409904","2192.07972034618","1188.62561809832","730.773822599673","0.99696334","0.99696334","0.99696334","0.99696334"
2023,"1.62640078338","71.46290854","77.80321951","103.868118020597","0.99696334","1383.90962409904","2192.07972034618","1188.62561809832","730.773822599673","0.99696334","0.99696334","0.99696334","0.99696334"
2024,"1.57705597812","71.55869424","77.92292675","103.874552855899","0.99696334","1383.90962409904","2192.07972034618","1188.62561809832","730.773822599673","0.99696334","0.99696334","0.99696334","0.99696334"
2025,"1.532473028775","71.63496948","78.0201568","103.880985387292","0.99696334","1420.16051498017","2210.12257829839","1176.8267750725","680.363435778207","0.99696334","0.99696334","0.99696334","0.99696334"
2026,"1.49095277937","71.72841132","78.13592077","103.887406893269","0.99279534","1420.16051498017","2210.12257829839","1176.8267750725","680.363435778207","0.99279534","0.99279534","0.99279534","0.99279534"
2027,"1.45306820633","71.80974034","78.23753104","103.893808594033","0.99279534","1420.16051498017","2210.12257829839","1176.8267750725","680.363435778207","0.99279534","0.99279534","0.99279534","0.99279534"
2028,"1.4193567552","71.89938367","78.34768249","103.900181555933","0.99279534","1420.16051498017","2210.12257829839","1176.8267750725","680.363435778207","0.99279534","0.99279534","0.99279534","0.99279534"
2029,"1.390060387325","71.98156498","78.44887652","103.906517487145","0.99279534","1420.16051498017","2210.12257829839","1176.8267750725","680.363435778207","0.99279534","0.99279534","0.99279534","0.99279534"
2030,"1.3641384932","72.06759385","78.55360325","103.912809537615","0.99279534","1427.81614928565","2238.88256389831","1160.65518455551","685.871956734538","0.99279534","0.99279534","0.99279534","0.99279534"
2031,"1.3407109632","72.14891833","78.65244446","103.919052671195","0.986265945","1427.81614928565","2238.88256389831","1160.65518455551","685.871956734538","0.986265945","0.986265945","0.986265945","0.986265945"
2032,"1.31915532244","72.23178975","78.75224841","103.925245163393","0.986265945","1427.81614928565","2238.88256389831","1160.65518455551","685.871956734538","0.986265945","0.986265945","0.986265945","0.986265945"
2033,"1.29943970541","72.31155849","78.84792313","103.931391200058","0.986265945","1427.81614928565","2238.88256389831","1160.65518455551","685.871956734538","0.986265945","0.986265945","0.986265945","0.986265945"
2034,"1.28118165147","72.39167298","78.94323004","103.937504608925","0.986265945","1427.81614928565","2238.88256389831","1160.65518455551","685.871956734538","0.986265945","0.986265945","0.986265945","0.986265945"
2035,"1.264388735425","72.4695958","79.03541468","103.943612480754","0.986265945","1408.90295640119","2232.08099263809","1142.17487415492","701.988148220219","0.986265945","0.986265945","0.986265945","0.986265945"
2036,"1.24878409472","72.54723647","79.12654208","103.949761278304","0.97817625","1408.90295640119","2232.08099263809","1142.17487415492","701.988148220219","0.97817625","0.97817625","0.97817625","0.97817625"
2037,"1.234295075805","72.62321331","79.21512121","103.956014693641","0.97817625","1408.90295640119","2232.08099263809","1142.17487415492","701.988148220219","0.97817625","0.97817625","0.97817625","0.97817625"
2038,"1.22067045009","72.69858299","79.30228808","103.962377348844","0.97817625","1408.90295640119","2232.08099263809","1142.17487415492","701.988148220219","0.97817625","0.97817625","0.97817625","0.97817625"
2039,"1.207788683555","72.77259428","79.38724153","103.967931739128","0.97817625","1408.90295640119","2232.08099263809","1142.17487415492","701.988148220219","0.97817625","0.97817625","0.97817625","0.97817625"
2040,"1.1955270942","72.84583816","79.47061257","103.97325687623","0.97817625","1379.35661691355","2201.04674660099","1121.66259996064","684.677158301772","0.97817625","0.97817625","0.97817625","0.97817625"
2041,"1.18390244685","72.9179054","79.55197024","103.978398207377","0.969498895","1379.35661691355","2201.04674660099","1121.66259996064","684.677158301772","0.969498895","0.969498895","0.969498895","0.969498895"
2042,"1.17295821887","72.9891302","79.63167743","103.98335954933","0.969498895","1379.35661691355","2201.04674660099","1121.66259996064","684.677158301772","0.969498895","0.969498895","0.969498895","0.969498895"
2043,"1.16244320952","73.05929668","79.70950396","103.988159130999","0.969498895","1379.35661691355","2201.04674660099","1121.66259996064","684.677158301772","0.969498895","0.969498895","0.969498895","0.969498895"
2044,"1.1524791124","73.12859861","79.78565858","103.992816897472","0.969498895","1379.35661691355","2201.04674660099","1121.66259996064","684.677158301772","0.969498895","0.969498895","0.969498895","0.969498895"
2045,"1.142943181625","73.1969203","79.86003015","103.997325543465","0.969498895","1338.32680758153","2160.36123496425","1101.91446267192","675.974187285777","0.969498895","0.969498895","0.969498895","0.969498895"
2046,"1.137028816525","73.26438196","79.93274698","104.001661269331","0.96288359","1338.32680758153","2160.36123496425","1101.91446267192","675.974187285777","0.96288359","0.96288359","0.96288359","0.96288359"
2047,"1.13150817048","73.33093048","80.00376248","104.005787367776","0.96288359","1338.32680758153","2160.36123496425","1101.91446267192","675.974187285777","0.96288359","0.96288359","0.96288359","0.96288359"
2048,"1.126181908735","73.39664443","80.07316347","104.009689057319","0.96288359","1338.32680758153","2160.36123496425","1101.91446267192","675.974187285777","0.96288359","0.96288359","0.96288359","0.96288359"
2049,"1.12113194085","73.46150988","80.14093401","104.013410551304","0.96288359","1338.32680758153","2160.36123496425","1101.91446267192","675.974187285777","0.96288359","0.96288359","0.96288359","0.96288359"
2050,"1.1163265817625","73.5255762","80.2071455","104.017013555358","0.96288359","1292.57620352864","2106.09058109172","1081.92726433659","658.769397272964","0.96288359","0.96288359","0.96288359","0.96288359"
2051,"1.11173333394","73.58885852","80.27181119","104.020543502433","0.954410485","1292.57620352864","2106.09058109172","1081.92726433659","658.769397272964","0.954410485","0.954410485","0.954410485","0.954410485"
2052,"1.107214037895","73.65139767","80.33498277","104.024033636382","0.954410485","1292.57620352864","2106.09058109172","1081.92726433659","658.769397272964","0.954410485","0.954410485","0.954410485","0.954410485"
2053,"1.102909164345","73.71321977","80.3966898","104.027233904187","0.954410485","1292.57620352864","2106.09058109172","1081.92726433659","658.769397272964","0.954410485","0.954410485","0.954410485","0.954410485"
2054,"1.0985466736475","73.77436817","80.45698685","104.030543504051","0.954410485","1292.57620352864","2106.09058109172","1081.92726433659","658.769397272964","0.954410485","0.954410485","0.954410485","0.954410485"
2055,"1.09443721575","73.83487202","80.51591181","104.033921645276","0.954410485","1240.75717384192","2038.13467875811","1060.95447637622","636.709232092401","0.954410485","0.954410485","0.954410485","0.954410485"
2056,"1.090350757185","73.89478086","80.57351366","104.037311945873","0.94992529","1240.75717384192","2038.13467875811","1060.95447637622","636.709232092401","0.94992529","0.94992529","0.94992529","0.94992529"
2057,"1.086374076775","73.95411995","80.6298379","104.040675174414","0.94992529","1240.75717384192","2038.13467875811","1060.95447637622","636.709232092401","0.94992529","0.94992529","0.94992529","0.94992529"
2058,"1.082437197655","74.01294452","80.6849282","104.043985588406","0.94992529","1240.75717384192","2038.13467875811","1060.95447637622","636.709232092401","0.94992529","0.94992529","0.94992529","0.94992529"
2059,"1.0786266582","74.07129302","80.73883312","104.04722681653","0.94992529","1240.75717384192","2038.13467875811","1060.95447637622","636.709232092401","0.94992529","0.94992529","0.94992529","0.94992529"
2060,"1.0748714851625","74.12920351","80.79160351","104.050388968839","0.94992529","1185.04546219597","1960.67074811712","1039.34164383272","611.544924402431","0.94992529","0.94992529","0.94992529","0.94992529"
2061,"1.07107283326","74.18671874","80.84327964","104.05346759077","0.9436521","1185.04546219597","1960.67074811712","1039.34164383272","611.544924402431","0.9436521","0.9436521","0.9436521","0.9436521"
2062,"1.06753380426","74.24387652","80.89390673","104.056462949231","0.9436521","1185.04546219597","1960.67074811712","1039.34164383272","611.544924402431","0.9436521","0.9436521","0.9436521","0.9436521"
2063,"1.06388762975","74.30071707","80.94352786","104.059379003403","0.9436521","1185.04546219597","1960.67074811712","1039.34164383272","611.544924402431","0.9436521","0.9436521","0.9436521","0.9436521"
