"Origin","Destination","Race","Sex","Age","Internal.migration.rate"
"YUC","AGS","Total","f",0,9.43919389284155e-05
"YUC","AGS","Total","f",1,9.43919389284155e-05
"YUC","AGS","Total","f",2,9.43919389284155e-05
"YUC","AGS","Total","f",3,9.43919389284155e-05
"YUC","AGS","Total","f",4,9.43919389284155e-05
"YUC","AGS","Total","f",5,0.000120373101050806
"YUC","AGS","Total","f",6,0.000120373101050806
"YUC","AGS","Total","f",7,0.000120373101050806
"YUC","AGS","Total","f",8,0.000120373101050806
"YUC","AGS","Total","f",9,0.000120373101050806
"YUC","AGS","Total","f",10,0.00011633180702834
"YUC","AGS","Total","f",11,0.00011633180702834
"YUC","AGS","Total","f",12,0.00011633180702834
"YUC","AGS","Total","f",13,0.00011633180702834
"YUC","AGS","Total","f",14,0.00011633180702834
"YUC","AGS","Total","f",15,8.83348550497967e-05
"YUC","AGS","Total","f",16,8.83348550497967e-05
"YUC","AGS","Total","f",17,8.83348550497967e-05
"YUC","AGS","Total","f",18,8.83348550497967e-05
"YUC","AGS","Total","f",19,8.83348550497967e-05
"YUC","AGS","Total","f",20,9.49436529291394e-05
"YUC","AGS","Total","f",21,9.49436529291394e-05
"YUC","AGS","Total","f",22,9.49436529291394e-05
"YUC","AGS","Total","f",23,9.49436529291394e-05
"YUC","AGS","Total","f",24,9.49436529291394e-05
"YUC","AGS","Total","f",25,0.000123451698284794
"YUC","AGS","Total","f",26,0.000123451698284794
"YUC","AGS","Total","f",27,0.000123451698284794
"YUC","AGS","Total","f",28,0.000123451698284794
"YUC","AGS","Total","f",29,0.000123451698284794
"YUC","AGS","Total","f",30,0.000193292661750029
"YUC","AGS","Total","f",31,0.000193292661750029
"YUC","AGS","Total","f",32,0.000193292661750029
"YUC","AGS","Total","f",33,0.000193292661750029
"YUC","AGS","Total","f",34,0.000193292661750029
"YUC","AGS","Total","f",35,0.000235288240952112
"YUC","AGS","Total","f",36,0.000235288240952112
"YUC","AGS","Total","f",37,0.000235288240952112
"YUC","AGS","Total","f",38,0.000235288240952112
"YUC","AGS","Total","f",39,0.000235288240952112
"YUC","AGS","Total","f",40,0.000185793802635391
"YUC","AGS","Total","f",41,0.000185793802635391
"YUC","AGS","Total","f",42,0.000185793802635391
"YUC","AGS","Total","f",43,0.000185793802635391
"YUC","AGS","Total","f",44,0.000185793802635391
"YUC","AGS","Total","f",45,0.000111173356896725
"YUC","AGS","Total","f",46,0.000111173356896725
"YUC","AGS","Total","f",47,0.000111173356896725
"YUC","AGS","Total","f",48,0.000111173356896725
"YUC","AGS","Total","f",49,0.000111173356896725
"YUC","AGS","Total","f",50,0.000161128522022078
"YUC","AGS","Total","f",51,0.000161128522022078
"YUC","AGS","Total","f",52,0.000161128522022078
"YUC","AGS","Total","f",53,0.000161128522022078
"YUC","AGS","Total","f",54,0.000161128522022078
"YUC","AGS","Total","f",55,0.000168445279007085
"YUC","AGS","Total","f",56,0.000168445279007085
"YUC","AGS","Total","f",57,0.000168445279007085
"YUC","AGS","Total","f",58,0.000168445279007085
"YUC","AGS","Total","f",59,0.000168445279007085
"YUC","AGS","Total","f",60,0.000178346049460086
"YUC","AGS","Total","f",61,0.000178346049460086
"YUC","AGS","Total","f",62,0.000178346049460086
"YUC","AGS","Total","f",63,0.000178346049460086
"YUC","AGS","Total","f",64,0.000178346049460086
"YUC","AGS","Total","f",65,4.02144609468183e-05
"YUC","AGS","Total","f",66,4.02144609468183e-05
"YUC","AGS","Total","f",67,4.02144609468183e-05
"YUC","AGS","Total","f",68,4.02144609468183e-05
"YUC","AGS","Total","f",69,4.02144609468183e-05
"YUC","AGS","Total","f",70,6.73271714862009e-05
"YUC","AGS","Total","f",71,6.73271714862009e-05
"YUC","AGS","Total","f",72,6.73271714862009e-05
"YUC","AGS","Total","f",73,6.73271714862009e-05
"YUC","AGS","Total","f",74,6.73271714862009e-05
"YUC","AGS","Total","f",75,4.54721142259509e-05
"YUC","AGS","Total","f",76,4.54721142259509e-05
"YUC","AGS","Total","f",77,4.54721142259509e-05
"YUC","AGS","Total","f",78,4.54721142259509e-05
"YUC","AGS","Total","f",79,4.54721142259509e-05
"YUC","AGS","Total","f",80,4.54721142259509e-05
"YUC","AGS","Total","f",81,4.54721142259509e-05
"YUC","AGS","Total","f",82,4.54721142259509e-05
"YUC","AGS","Total","f",83,4.54721142259509e-05
"YUC","AGS","Total","f",84,4.54721142259509e-05
"YUC","AGS","Total","f",85,0
"YUC","AGS","Total","f",86,0
"YUC","AGS","Total","f",87,0
"YUC","AGS","Total","f",88,0
"YUC","AGS","Total","f",89,0
"YUC","AGS","Total","f",90,0
"YUC","AGS","Total","f",91,0
"YUC","AGS","Total","f",92,0
"YUC","AGS","Total","f",93,0
"YUC","AGS","Total","f",94,0
"YUC","AGS","Total","f",95,0
"YUC","AGS","Total","f",96,0
"YUC","AGS","Total","f",97,0
"YUC","AGS","Total","f",98,0
"YUC","AGS","Total","f",99,0
"YUC","AGS","Total","f",100,0
"YUC","AGS","Total","m",0,0.000103548253486125
"YUC","AGS","Total","m",1,0.000103548253486125
"YUC","AGS","Total","m",2,0.000103548253486125
"YUC","AGS","Total","m",3,0.000103548253486125
"YUC","AGS","Total","m",4,0.000103548253486125
"YUC","AGS","Total","m",5,9.8220872816118e-05
"YUC","AGS","Total","m",6,9.8220872816118e-05
"YUC","AGS","Total","m",7,9.8220872816118e-05
"YUC","AGS","Total","m",8,9.8220872816118e-05
"YUC","AGS","Total","m",9,9.8220872816118e-05
"YUC","AGS","Total","m",10,9.95014283196971e-05
"YUC","AGS","Total","m",11,9.95014283196971e-05
"YUC","AGS","Total","m",12,9.95014283196971e-05
"YUC","AGS","Total","m",13,9.95014283196971e-05
"YUC","AGS","Total","m",14,9.95014283196971e-05
"YUC","AGS","Total","m",15,8.06616150130408e-05
"YUC","AGS","Total","m",16,8.06616150130408e-05
"YUC","AGS","Total","m",17,8.06616150130408e-05
"YUC","AGS","Total","m",18,8.06616150130408e-05
"YUC","AGS","Total","m",19,8.06616150130408e-05
"YUC","AGS","Total","m",20,0.000108834587241541
"YUC","AGS","Total","m",21,0.000108834587241541
"YUC","AGS","Total","m",22,0.000108834587241541
"YUC","AGS","Total","m",23,0.000108834587241541
"YUC","AGS","Total","m",24,0.000108834587241541
"YUC","AGS","Total","m",25,0.000141601163551404
"YUC","AGS","Total","m",26,0.000141601163551404
"YUC","AGS","Total","m",27,0.000141601163551404
"YUC","AGS","Total","m",28,0.000141601163551404
"YUC","AGS","Total","m",29,0.000141601163551404
"YUC","AGS","Total","m",30,0.000199357244944156
"YUC","AGS","Total","m",31,0.000199357244944156
"YUC","AGS","Total","m",32,0.000199357244944156
"YUC","AGS","Total","m",33,0.000199357244944156
"YUC","AGS","Total","m",34,0.000199357244944156
"YUC","AGS","Total","m",35,0.000178182239149351
"YUC","AGS","Total","m",36,0.000178182239149351
"YUC","AGS","Total","m",37,0.000178182239149351
"YUC","AGS","Total","m",38,0.000178182239149351
"YUC","AGS","Total","m",39,0.000178182239149351
"YUC","AGS","Total","m",40,0.000165786764167572
"YUC","AGS","Total","m",41,0.000165786764167572
"YUC","AGS","Total","m",42,0.000165786764167572
"YUC","AGS","Total","m",43,0.000165786764167572
"YUC","AGS","Total","m",44,0.000165786764167572
"YUC","AGS","Total","m",45,0.000128406092882987
"YUC","AGS","Total","m",46,0.000128406092882987
"YUC","AGS","Total","m",47,0.000128406092882987
"YUC","AGS","Total","m",48,0.000128406092882987
"YUC","AGS","Total","m",49,0.000128406092882987
"YUC","AGS","Total","m",50,0.000106279678644218
"YUC","AGS","Total","m",51,0.000106279678644218
"YUC","AGS","Total","m",52,0.000106279678644218
"YUC","AGS","Total","m",53,0.000106279678644218
"YUC","AGS","Total","m",54,0.000106279678644218
"YUC","AGS","Total","m",55,7.04492036318737e-05
"YUC","AGS","Total","m",56,7.04492036318737e-05
"YUC","AGS","Total","m",57,7.04492036318737e-05
"YUC","AGS","Total","m",58,7.04492036318737e-05
"YUC","AGS","Total","m",59,7.04492036318737e-05
"YUC","AGS","Total","m",60,7.22284695632878e-05
"YUC","AGS","Total","m",61,7.22284695632878e-05
"YUC","AGS","Total","m",62,7.22284695632878e-05
"YUC","AGS","Total","m",63,7.22284695632878e-05
"YUC","AGS","Total","m",64,7.22284695632878e-05
"YUC","AGS","Total","m",65,7.34309294979007e-05
"YUC","AGS","Total","m",66,7.34309294979007e-05
"YUC","AGS","Total","m",67,7.34309294979007e-05
"YUC","AGS","Total","m",68,7.34309294979007e-05
"YUC","AGS","Total","m",69,7.34309294979007e-05
"YUC","AGS","Total","m",70,5.32808111159552e-05
"YUC","AGS","Total","m",71,5.32808111159552e-05
"YUC","AGS","Total","m",72,5.32808111159552e-05
"YUC","AGS","Total","m",73,5.32808111159552e-05
"YUC","AGS","Total","m",74,5.32808111159552e-05
"YUC","AGS","Total","m",75,1.74128053770743e-05
"YUC","AGS","Total","m",76,1.74128053770743e-05
"YUC","AGS","Total","m",77,1.74128053770743e-05
"YUC","AGS","Total","m",78,1.74128053770743e-05
"YUC","AGS","Total","m",79,1.74128053770743e-05
"YUC","AGS","Total","m",80,0
"YUC","AGS","Total","m",81,0
"YUC","AGS","Total","m",82,0
"YUC","AGS","Total","m",83,0
"YUC","AGS","Total","m",84,0
"YUC","AGS","Total","m",85,0
"YUC","AGS","Total","m",86,0
"YUC","AGS","Total","m",87,0
"YUC","AGS","Total","m",88,0
"YUC","AGS","Total","m",89,0
"YUC","AGS","Total","m",90,0
"YUC","AGS","Total","m",91,0
"YUC","AGS","Total","m",92,0
"YUC","AGS","Total","m",93,0
"YUC","AGS","Total","m",94,0
"YUC","AGS","Total","m",95,0
"YUC","AGS","Total","m",96,0
"YUC","AGS","Total","m",97,0
"YUC","AGS","Total","m",98,0
"YUC","AGS","Total","m",99,0
"YUC","AGS","Total","m",100,0
"YUC","BC","Total","f",0,0.000117989923660519
"YUC","BC","Total","f",1,0.000117989923660519
"YUC","BC","Total","f",2,0.000117989923660519
"YUC","BC","Total","f",3,0.000117989923660519
"YUC","BC","Total","f",4,0.000117989923660519
"YUC","BC","Total","f",5,0.000125118702200356
"YUC","BC","Total","f",6,0.000125118702200356
"YUC","BC","Total","f",7,0.000125118702200356
"YUC","BC","Total","f",8,0.000125118702200356
"YUC","BC","Total","f",9,0.000125118702200356
"YUC","BC","Total","f",10,0.000128859631152452
"YUC","BC","Total","f",11,0.000128859631152452
"YUC","BC","Total","f",12,0.000128859631152452
"YUC","BC","Total","f",13,0.000128859631152452
"YUC","BC","Total","f",14,0.000128859631152452
"YUC","BC","Total","f",15,0.000170763703040633
"YUC","BC","Total","f",16,0.000170763703040633
"YUC","BC","Total","f",17,0.000170763703040633
"YUC","BC","Total","f",18,0.000170763703040633
"YUC","BC","Total","f",19,0.000170763703040633
"YUC","BC","Total","f",20,0.000276803634338401
"YUC","BC","Total","f",21,0.000276803634338401
"YUC","BC","Total","f",22,0.000276803634338401
"YUC","BC","Total","f",23,0.000276803634338401
"YUC","BC","Total","f",24,0.000276803634338401
"YUC","BC","Total","f",25,0.000323840019781343
"YUC","BC","Total","f",26,0.000323840019781343
"YUC","BC","Total","f",27,0.000323840019781343
"YUC","BC","Total","f",28,0.000323840019781343
"YUC","BC","Total","f",29,0.000323840019781343
"YUC","BC","Total","f",30,0.000295316761421324
"YUC","BC","Total","f",31,0.000295316761421324
"YUC","BC","Total","f",32,0.000295316761421324
"YUC","BC","Total","f",33,0.000295316761421324
"YUC","BC","Total","f",34,0.000295316761421324
"YUC","BC","Total","f",35,0.000229239569415237
"YUC","BC","Total","f",36,0.000229239569415237
"YUC","BC","Total","f",37,0.000229239569415237
"YUC","BC","Total","f",38,0.000229239569415237
"YUC","BC","Total","f",39,0.000229239569415237
"YUC","BC","Total","f",40,0.000182072143543012
"YUC","BC","Total","f",41,0.000182072143543012
"YUC","BC","Total","f",42,0.000182072143543012
"YUC","BC","Total","f",43,0.000182072143543012
"YUC","BC","Total","f",44,0.000182072143543012
"YUC","BC","Total","f",45,0.000174027339499979
"YUC","BC","Total","f",46,0.000174027339499979
"YUC","BC","Total","f",47,0.000174027339499979
"YUC","BC","Total","f",48,0.000174027339499979
"YUC","BC","Total","f",49,0.000174027339499979
"YUC","BC","Total","f",50,0.000125296451607532
"YUC","BC","Total","f",51,0.000125296451607532
"YUC","BC","Total","f",52,0.000125296451607532
"YUC","BC","Total","f",53,0.000125296451607532
"YUC","BC","Total","f",54,0.000125296451607532
"YUC","BC","Total","f",55,0.000162811708961704
"YUC","BC","Total","f",56,0.000162811708961704
"YUC","BC","Total","f",57,0.000162811708961704
"YUC","BC","Total","f",58,0.000162811708961704
"YUC","BC","Total","f",59,0.000162811708961704
"YUC","BC","Total","f",60,0.000141800004219459
"YUC","BC","Total","f",61,0.000141800004219459
