"Race","Sex","Age","lx"
"Total","Female","0",1e+05
"Total","Female","1",99583.01891287
"Total","Female","2",99145.5871690392
"Total","Female","3",99101.1098126016
"Total","Female","4",99068.1457002346
"Total","Female","5",99046.6301945988
"Total","Female","6",99025.5665271641
"Total","Female","7",99009.9173212968
"Total","Female","8",98994.3264359616
"Total","Female","9",98978.8654171778
"Total","Female","10",98958.4752713433
"Total","Female","11",98938.241467679
"Total","Female","12",98913.0194926446
"Total","Female","13",98887.8039473587
"Total","Female","14",98857.5537779041
"Total","Female","15",98822.3507827905
"Total","Female","16",98782.3781462113
"Total","Female","17",98732.8780569418
"Total","Female","18",98679.1405611537
"Total","Female","19",98616.613871548
"Total","Female","20",98545.4156808964
"Total","Female","21",98469.8983356742
"Total","Female","22",98384.8067288551
"Total","Female","23",98294.6520915188
"Total","Female","24",98199.805126602
"Total","Female","25",98095.9699005718
"Total","Female","26",97983.2698872825
"Total","Female","27",97866.2190332778
"Total","Female","28",97739.7193844807
"Total","Female","29",97603.1028349133
"Total","Female","30",97460.073668977
"Total","Female","31",97309.8032313486
"Total","Female","32",97152.0728239227
"Total","Female","33",96992.0529386866
"Total","Female","34",96829.8842938234
"Total","Female","35",96660.5070612191
"Total","Female","36",96488.7586841551
"Total","Female","37",96308.8706655522
"Total","Female","38",96114.9276469272
"Total","Female","39",95911.9162398807
"Total","Female","40",95699.8205219387
"Total","Female","41",95473.1242752919
"Total","Female","42",95232.1609185488
"Total","Female","43",94977.3591502049
"Total","Female","44",94703.3719855549
"Total","Female","45",94404.2253520494
"Total","Female","46",94078.1517881745
"Total","Female","47",93728.3291952962
"Total","Female","48",93345.4621238699
"Total","Female","49",92932.6679586115
"Total","Female","50",92487.3246590212
"Total","Female","51",92007.1169694684
"Total","Female","52",91497.2661675728
"Total","Female","53",90949.7234723968
"Total","Female","54",90356.2021510988
"Total","Female","55",89716.3504413794
"Total","Female","56",89021.812522075
"Total","Female","57",88261.1134269909
"Total","Female","58",87437.8589411501
"Total","Female","59",86541.1471524735
"Total","Female","60",85568.3843583068
"Total","Female","61",84506.3100179012
"Total","Female","62",83349.8209267471
"Total","Female","63",82104.103494418
"Total","Female","64",80757.7376139574
"Total","Female","65",79298.5295223525
"Total","Female","66",77727.2514026353
"Total","Female","67",76047.7470236153
"Total","Female","68",74262.2543675333
"Total","Female","69",72362.4433832565
"Total","Female","70",70353.182055064
"Total","Female","71",68236.8524041344
"Total","Female","72",65995.6490319428
"Total","Female","73",63618.8549491597
"Total","Female","74",61110.8516900398
"Total","Female","75",58501.2257679527
"Total","Female","76",55806.15268717
"Total","Female","77",52981.8737734244
"Total","Female","78",50069.7251501509
"Total","Female","79",47118.2168843544
"Total","Female","80",44114.838625675
"Total","Female","81",41081.7100089055
"Total","Female","82",38005.5804687403
"Total","Female","83",34893.0885326182
"Total","Female","84",31787.1668829832
"Total","Female","85",28712.5891189505
"Total","Female","86",25711.5081658247
"Total","Female","87",22799.4785934129
"Total","Female","88",19998.4743556872
"Total","Female","89",17334.3635240077
"Total","Female","90",14810.7236098258
"Total","Female","91",12465.0104782512
"Total","Female","92",10322.875344211
"Total","Female","93",8415.38750886767
"Total","Female","94",6726.61752399907
"Total","Female","95",5283.13736863447
"Total","Female","96",4035.45917087577
"Total","Female","97",2994.68381293701
"Total","Female","98",2127.80165656051
"Total","Female","99",1464.08370864255
"Total","Female","100+",963.212966212204
"Total","Male","0",1e+05
"Total","Male","1",99420.2512217827
"Total","Male","2",98805.3473242522
"Total","Male","3",98751.9707658143
"Total","Male","4",98720.3347027787
"Total","Male","5",98694.5342337347
"Total","Male","6",98669.2842697483
"Total","Male","7",98649.2458285888
"Total","Male","8",98629.2388832298
"Total","Male","9",98609.3659759392
"Total","Male","10",98584.7511720212
"Total","Male","11",98560.2963432632
"Total","Male","12",98531.022456918
"Total","Male","13",98491.9557879556
"Total","Male","14",98443.0229800323
"Total","Male","15",98379.421394726
"Total","Male","16",98296.6821282106
"Total","Male","17",98190.6603109423
"Total","Male","18",98057.7264317862
"Total","Male","19",97899.2756595472
"Total","Male","20",97711.417549794
"Total","Male","21",97489.0212165641
"Total","Male","22",97235.2733574831
"Total","Male","23",96954.1810392958
"Total","Male","24",96642.5256624487
"Total","Male","25",96297.3977967618
"Total","Male","26",95910.4915872197
"Total","Male","27",95481.1638369735
"Total","Male","28",95011.9471764858
"Total","Male","29",94508.5667216511
"Total","Male","30",93979.8158642006
"Total","Male","31",93435.5401207908
"Total","Male","32",92879.3481350039
"Total","Male","33",92321.1674084647
"Total","Male","34",91765.5637593737
"Total","Male","35",91211.6671387892
"Total","Male","36",90657.6610431487
"Total","Male","37",90106.6482034801
"Total","Male","38",89563.9371516738
