"Race","Sex","Age","Population"
"Total","Male",0,18364
"Total","Male",1,18375
"Total","Male",2,18506
"Total","Male",3,18726
"Total","Male",4,19129
"Total","Male",5,19541
"Total","Male",6,19694
"Total","Male",7,19721
"Total","Male",8,19850
"Total","Male",9,20028
"Total","Male",10,20154
"Total","Male",11,20198
"Total","Male",12,20173
"Total","Male",13,20123
"Total","Male",14,20115
"Total","Male",15,20205
"Total","Male",16,20386
"Total","Male",17,20668
"Total","Male",18,21024
"Total","Male",19,21346
"Total","Male",20,21504
"Total","Male",21,21487
"Total","Male",22,21416
"Total","Male",23,21431
"Total","Male",24,21523
"Total","Male",25,21610
"Total","Male",26,21621
"Total","Male",27,21517
"Total","Male",28,21272
"Total","Male",29,20854
"Total","Male",30,20316
"Total","Male",31,19764
"Total","Male",32,19244
"Total","Male",33,18720
"Total","Male",34,18169
"Total","Male",35,17563
"Total","Male",36,16895
"Total","Male",37,16222
"Total","Male",38,15605
"Total","Male",39,15090
"Total","Male",40,14694
"Total","Male",41,14417
"Total","Male",42,14242
"Total","Male",43,14151
"Total","Male",44,14095
"Total","Male",45,13983
"Total","Male",46,13786
"Total","Male",47,13503
"Total","Male",48,13150
"Total","Male",49,12755
"Total","Male",50,12340
"Total","Male",51,11931
"Total","Male",52,11535
"Total","Male",53,11155
"Total","Male",54,10806
"Total","Male",55,10476
"Total","Male",56,10131
"Total","Male",57,9768
"Total","Male",58,9412
"Total","Male",59,9067
"Total","Male",60,8722
"Total","Male",61,8369
"Total","Male",62,8019
"Total","Male",63,7685
"Total","Male",64,7361
"Total","Male",65,7021
"Total","Male",66,6635
"Total","Male",67,6247
"Total","Male",68,5901
"Total","Male",69,5590
"Total","Male",70,5330
"Total","Male",71,5088
"Total","Male",72,4828
"Total","Male",73,4557
"Total","Male",74,4278
"Total","Male",75,3989
"Total","Male",76,3684
"Total","Male",77,3374
"Total","Male",78,3085
"Total","Male",79,2809
"Total","Male",80,2539
"Total","Male",81,2283
"Total","Male",82,2043
"Total","Male",83,1820
"Total","Male",84,1614
"Total","Male",85,1424
"Total","Male",86,1248
"Total","Male",87,1084
"Total","Male",88,933
"Total","Male",89,794
"Total","Male",90,665
"Total","Male",91,547
"Total","Male",92,444
"Total","Male",93,354
"Total","Male",94,277
"Total","Male",95,214
"Total","Male",96,160
"Total","Male",97,117
"Total","Male",98,84
"Total","Male",99,59
"Total","Male",100,87
"Total","Female",0,17683
"Total","Female",1,17718
"Total","Female",2,17829
"Total","Female",3,18035
"Total","Female",4,18416
"Total","Female",5,18807
"Total","Female",6,18982
"Total","Female",7,19050
"Total","Female",8,19207
"Total","Female",9,19415
"Total","Female",10,19561
"Total","Female",11,19611
"Total","Female",12,19611
"Total","Female",13,19611
"Total","Female",14,19654
"Total","Female",15,19774
"Total","Female",16,19951
"Total","Female",17,20205
"Total","Female",18,20510
"Total","Female",19,20769
"Total","Female",20,20871
"Total","Female",21,20821
"Total","Female",22,20725
"Total","Female",23,20717
"Total","Female",24,20795
"Total","Female",25,20878
"Total","Female",26,20915
"Total","Female",27,20875
"Total","Female",28,20733
"Total","Female",29,20457
"Total","Female",30,20090
"Total","Female",31,19726
"Total","Female",32,19412
"Total","Female",33,19123
"Total","Female",34,18849
"Total","Female",35,18556
"Total","Female",36,18220
"Total","Female",37,17859
"Total","Female",38,17499
"Total","Female",39,17165
"Total","Female",40,16866
"Total","Female",41,16620
"Total","Female",42,16423
"Total","Female",43,16269
"Total","Female",44,16120
"Total","Female",45,15896
"Total","Female",46,15569
"Total","Female",47,15147
"Total","Female",48,14666
"Total","Female",49,14156
"Total","Female",50,13639
"Total","Female",51,13137
"Total","Female",52,12662
"Total","Female",53,12219
"Total","Female",54,11820
"Total","Female",55,11452
"Total","Female",56,11070
"Total","Female",57,10671
"Total","Female",58,10283
"Total","Female",59,9908
"Total","Female",60,9528
"Total","Female",61,9144
"Total","Female",62,8766
"Total","Female",63,8407
"Total","Female",64,8062
"Total","Female",65,7695
"Total","Female",66,7279
"Total","Female",67,6861
"Total","Female",68,6483
"Total","Female",69,6144
"Total","Female",70,5861
"Total","Female",71,5600
"Total","Female",72,5317
"Total","Female",73,5023
"Total","Female",74,4721
"Total","Female",75,4411
"Total","Female",76,4083
"Total","Female",77,3751
"Total","Female",78,3441
"Total","Female",79,3144
"Total","Female",80,2851
"Total","Female",81,2571
"Total","Female",82,2307
"Total","Female",83,2061
"Total","Female",84,1830
"Total","Female",85,1614
"Total","Female",86,1416
"Total","Female",87,1230
"Total","Female",88,1058
"Total","Female",89,898
"Total","Female",90,750
"Total","Female",91,617
"Total","Female",92,501
"Total","Female",93,399
"Total","Female",94,312
"Total","Female",95,239
"Total","Female",96,179
"Total","Female",97,130
"Total","Female",98,92
"Total","Female",99,63
"Total","Female",100,98
