"year","f_A","m_M","m_F","sr_A","int_mig","iim_M","iim_F","iom_M","iom_F","idm_M","idm_F","odm_M","odm_F"
NA,"fertility","mortality","mortality","sex ratio at birth","internal migration change","net international in-migrants","net international in-migrants","net international out-migrants","net international out-migrants","domestic in-migration","domestic in-migration","domestic out-migration","domestic out-migration"
NA,"Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total"
NA,NA,"male","female",NA,"Total","male","female","male","female","male","female","male","female"
2020,"2.36342445432313","63.51066844","72.4569695","103.690844143672","1","2746.40439050557","1881.71300299657","2013.79025748589","957.89599595404","1","1","1","1"
2021,"2.36530669364625","62.44928062","72.13889213","103.687307480608","0.99392668","2746.40439050557","1881.71300299657","2013.79025748589","957.89599595404","0.99392668","0.99392668","0.99392668","0.99392668"
2022,"2.36718893296938","70.68295409","77.1597515","103.684578669763","0.99392668","2746.40439050557","1881.71300299657","2013.79025748589","957.89599595404","0.99392668","0.99392668","0.99392668","0.99392668"
2023,"2.3690711722925","70.74820487","77.2458415","103.68263402747","0.99392668","2746.40439050557","1881.71300299657","2013.79025748589","957.89599595404","0.99392668","0.99392668","0.99392668","0.99392668"
2024,"2.37095341161563","70.84971113","77.37215612","103.6814366437","0.99392668","2746.40439050557","1881.71300299657","2013.79025748589","957.89599595404","0.99392668","0.99392668","0.99392668","0.99392668"
2025,"2.37283565093875","70.9311379","77.4753114","103.680947820782","0.99392668","2838.78156288633","1910.95821145424","1999.84762006934","894.523093602422","0.99392668","0.99392668","0.99392668","0.99392668"
2026,"2.37471789026187","71.03022189","77.59756595","103.681127885765","0.98559068","2838.78156288633","1910.95821145424","1999.84762006934","894.523093602422","0.98559068","0.98559068","0.98559068","0.98559068"
2027,"2.376600129585","71.1168347","77.70523463","103.681935538074","0.98559068","2838.78156288633","1910.95821145424","1999.84762006934","894.523093602422","0.98559068","0.98559068","0.98559068","0.98559068"
2028,"2.37848236890812","71.21200561","77.82170222","103.683329048221","0.98559068","2838.78156288633","1910.95821145424","1999.84762006934","894.523093602422","0.98559068","0.98559068","0.98559068","0.98559068"
2029,"2.38036460823125","71.29949377","77.92894206","103.685268855015","0.98559068","2838.78156288633","1910.95821145424","1999.84762006934","894.523093602422","0.98559068","0.98559068","0.98559068","0.98559068"
2030,"2.38224684755437","71.39094078","78.03981879","103.687720694433","0.98559068","2893.735594948","1962.71913887487","1992.18225187377","910.825380733854","0.98559068","0.98559068","0.98559068","0.98559068"
2031,"2.3841290868775","71.47754926","78.14463023","103.69066067176","0.97253189","2893.735594948","1962.71913887487","1992.18225187377","910.825380733854","0.97253189","0.97253189","0.97253189","0.97253189"
2032,"2.38601132620063","71.56575272","78.25043134","103.694083515054","0.97253189","2893.735594948","1962.71913887487","1992.18225187377","910.825380733854","0.97253189","0.97253189","0.97253189","0.97253189"
2033,"2.38789356552375","71.65076197","78.35197839","103.698014218369","0.97253189","2893.735594948","1962.71913887487","1992.18225187377","910.825380733854","0.97253189","0.97253189","0.97253189","0.97253189"
2034,"2.38977580484688","71.73613538","78.45315","103.702526588114","0.97253189","2893.735594948","1962.71913887487","1992.18225187377","910.825380733854","0.97253189","0.97253189","0.97253189","0.97253189"
2035,"2.39165804417","71.81926286","78.55110025","103.707772708172","0.97253189","2908.37520813029","1993.05640284989","1990.92743258384","946.714077807851","0.97253189","0.97253189","0.97253189","0.97253189"
2036,"2.39354028349313","71.90210355","78.6479598","103.714031625634","0.9563525","2908.37520813029","1993.05640284989","1990.92743258384","946.714077807851","0.9563525","0.9563525","0.9563525","0.9563525"
2037,"2.39542252281625","71.98324419","78.74219297","103.721753777908","0.9563525","2908.37520813029","1993.05640284989","1990.92743258384","946.714077807851","0.9563525","0.9563525","0.9563525","0.9563525"
2038,"2.39730476213937","72.06376869","78.83496989","103.731260708936","0.9563525","2908.37520813029","1993.05640284989","1990.92743258384","946.714077807851","0.9563525","0.9563525","0.9563525","0.9563525"
2039,"2.3991870014625","72.14290349","78.92546332","103.738767213922","0.9563525","2908.37520813029","1993.05640284989","1990.92743258384","946.714077807851","0.9563525","0.9563525","0.9563525","0.9563525"
2040,"2.40106924078562","72.22126105","79.01432857","103.745765316806","0.9563525","2910.52986559911","2008.93113830705","1996.61776580336","942.941517734372","0.9563525","0.9563525","0.9563525","0.9563525"
2041,"2.40295148010875","72.29842143","79.10111812","103.752250391857","0.93899779","2910.52986559911","2008.93113830705","1996.61776580336","942.941517734372","0.93899779","0.93899779","0.93899779","0.93899779"
2042,"2.40483371943187","72.37472563","79.18620253","103.758316877464","0.93899779","2910.52986559911","2008.93113830705","1996.61776580336","942.941517734372","0.93899779","0.93899779","0.93899779","0.93899779"
2043,"2.406715958755","72.44995729","79.26935077","103.763880722266","0.93899779","2910.52986559911","2008.93113830705","1996.61776580336","942.941517734372","0.93899779","0.93899779","0.93899779","0.93899779"
2044,"2.40859819807813","72.52431253","79.35077563","103.768874042283","0.93899779","2910.52986559911","2008.93113830705","1996.61776580336","942.941517734372","0.93899779","0.93899779","0.93899779","0.93899779"
2045,"2.41048043740125","72.59767413","79.43036428","103.773314303584","0.93899779","2883.85146808478","2013.61933867426","2003.2852103293","950.804526572098","0.93899779","0.93899779","0.93899779","0.93899779"
2046,"2.41236267672438","72.6701648","79.50823954","103.777281022276","0.92576718","2883.85146808478","2013.61933867426","2003.2852103293","950.804526572098","0.92576718","0.92576718","0.92576718","0.92576718"
2047,"2.4142449160475","72.74173596","79.58436461","103.780890185729","0.92576718","2883.85146808478","2013.61933867426","2003.2852103293","950.804526572098","0.92576718","0.92576718","0.92576718","0.92576718"
2048,"2.41612715537062","72.81246361","79.65882203","103.784312256605","0.92576718","2883.85146808478","2013.61933867426","2003.2852103293","950.804526572098","0.92576718","0.92576718","0.92576718","0.92576718"
2049,"2.41800939469375","72.88233217","79.731601","103.787735454646","0.92576718","2883.85146808478","2013.61933867426","2003.2852103293","950.804526572098","0.92576718","0.92576718","0.92576718","0.92576718"
2050,"2.41989163401687","72.95139838","79.80277243","103.791301845447","0.92576718","2849.45981965064","2008.27745792684","2011.82206613455","947.744221362382","0.92576718","0.92576718","0.92576718","0.92576718"
2051,"2.42177387334","73.0196749","79.8723404","103.795099336609","0.90882097","2849.45981965064","2008.27745792684","2011.82206613455","947.744221362382","0.90882097","0.90882097","0.90882097","0.90882097"
2052,"2.42365611266312","73.08720664","79.94037722","103.79914970737","0.90882097","2849.45981965064","2008.27745792684","2011.82206613455","947.744221362382","0.90882097","0.90882097","0.90882097","0.90882097"
2053,"2.42553835198625","73.15401539","80.00690215","103.802589619676","0.90882097","2849.45981965064","2008.27745792684","2011.82206613455","947.744221362382","0.90882097","0.90882097","0.90882097","0.90882097"
2054,"2.42742059130937","73.22014955","80.07197093","103.806097012941","0.90882097","2849.45981965064","2008.27745792684","2011.82206613455","947.744221362382","0.90882097","0.90882097","0.90882097","0.90882097"
2055,"2.4293028306325","73.28564494","80.13562202","103.809682014066","0.90882097","2809.12498110842","1995.98573016875","2024.3233091044","939.91915456972","0.90882097","0.90882097","0.90882097","0.90882097"
2056,"2.43118506995562","73.35053584","80.19790881","103.81328998683","0.89985058","2809.12498110842","1995.98573016875","2024.3233091044","939.91915456972","0.89985058","0.89985058","0.89985058","0.89985058"
2057,"2.43306730927875","73.41487232","80.25887587","103.816870056388","0.89985058","2809.12498110842","1995.98573016875","2024.3233091044","939.91915456972","0.89985058","0.89985058","0.89985058","0.89985058"
2058,"2.43494954860188","73.47869137","80.31857166","103.820384576616","0.89985058","2809.12498110842","1995.98573016875","2024.3233091044","939.91915456972","0.89985058","0.89985058","0.89985058","0.89985058"
2059,"2.436831787925","73.5420374","80.37704441","103.823808402466","0.89985058","2809.12498110842","1995.98573016875","2024.3233091044","939.91915456972","0.89985058","0.89985058","0.89985058","0.89985058"
2060,"2.43871402724812","73.60495788","80.43434456","103.827126470166","0.89985058","2765.85602120436","1979.4271065504","2047.7007264438","932.18636972452","0.89985058","0.89985058","0.89985058","0.89985058"
2061,"2.44059626657125","73.6674882","80.4905151","103.830332086109","0.8873042","2765.85602120436","1979.4271065504","2047.7007264438","932.18636972452","0.8873042","0.8873042","0.8873042","0.8873042"
2062,"2.44247850589437","73.72967621","80.54560295","103.833424958009","0.8873042","2765.85602120436","1979.4271065504","2047.7007264438","932.18636972452","0.8873042","0.8873042","0.8873042","0.8873042"
2063,"2.4443607452175","73.79155409","80.59965099","103.836409692417","0.8873042","2765.85602120436","1979.4271065504","2047.7007264438","932.18636972452","0.8873042","0.8873042","0.8873042","0.8873042"
