"Origin","Destination","Race","Sex","Age","Internal.migration.rate"
"AGS","ZAC","Total","f",0,0.00508104860645136
"AGS","ZAC","Total","f",1,0.00508104860645136
"AGS","ZAC","Total","f",2,0.00508104860645136
"AGS","ZAC","Total","f",3,0.00508104860645136
"AGS","ZAC","Total","f",4,0.00508104860645136
"AGS","ZAC","Total","f",5,0.00338469246838913
"AGS","ZAC","Total","f",6,0.00338469246838913
"AGS","ZAC","Total","f",7,0.00338469246838913
"AGS","ZAC","Total","f",8,0.00338469246838913
"AGS","ZAC","Total","f",9,0.00338469246838913
"AGS","ZAC","Total","f",10,0.00271446039208934
"AGS","ZAC","Total","f",11,0.00271446039208934
"AGS","ZAC","Total","f",12,0.00271446039208934
"AGS","ZAC","Total","f",13,0.00271446039208934
"AGS","ZAC","Total","f",14,0.00271446039208934
"AGS","ZAC","Total","f",15,0.00347113325989716
"AGS","ZAC","Total","f",16,0.00347113325989716
"AGS","ZAC","Total","f",17,0.00347113325989716
"AGS","ZAC","Total","f",18,0.00347113325989716
"AGS","ZAC","Total","f",19,0.00347113325989716
"AGS","ZAC","Total","f",20,0.00469708780626501
"AGS","ZAC","Total","f",21,0.00469708780626501
"AGS","ZAC","Total","f",22,0.00469708780626501
"AGS","ZAC","Total","f",23,0.00469708780626501
"AGS","ZAC","Total","f",24,0.00469708780626501
"AGS","ZAC","Total","f",25,0.00508104860645136
"AGS","ZAC","Total","f",26,0.00508104860645136
"AGS","ZAC","Total","f",27,0.00508104860645136
"AGS","ZAC","Total","f",28,0.00508104860645136
"AGS","ZAC","Total","f",29,0.00508104860645136
"AGS","ZAC","Total","f",30,0.00426936110761799
"AGS","ZAC","Total","f",31,0.00426936110761799
"AGS","ZAC","Total","f",32,0.00426936110761799
"AGS","ZAC","Total","f",33,0.00426936110761799
"AGS","ZAC","Total","f",34,0.00426936110761799
"AGS","ZAC","Total","f",35,0.00287637785252057
"AGS","ZAC","Total","f",36,0.00287637785252057
"AGS","ZAC","Total","f",37,0.00287637785252057
"AGS","ZAC","Total","f",38,0.00287637785252057
"AGS","ZAC","Total","f",39,0.00287637785252057
"AGS","ZAC","Total","f",40,0.00183197157787321
"AGS","ZAC","Total","f",41,0.00183197157787321
"AGS","ZAC","Total","f",42,0.00183197157787321
"AGS","ZAC","Total","f",43,0.00183197157787321
