"Origin","Destination","Race","Sex","Age","Internal.migration.rate"
"ZAC","AGS","Total","f",0,0.00705270006506181
"ZAC","AGS","Total","f",1,0.00705270006506181
"ZAC","AGS","Total","f",2,0.00705270006506181
"ZAC","AGS","Total","f",3,0.00705270006506181
"ZAC","AGS","Total","f",4,0.00705270006506181
"ZAC","AGS","Total","f",5,0.00640738749790136
"ZAC","AGS","Total","f",6,0.00640738749790136
"ZAC","AGS","Total","f",7,0.00640738749790136
"ZAC","AGS","Total","f",8,0.00640738749790136
"ZAC","AGS","Total","f",9,0.00640738749790136
"ZAC","AGS","Total","f",10,0.00703692203761836
"ZAC","AGS","Total","f",11,0.00703692203761836
"ZAC","AGS","Total","f",12,0.00703692203761836
"ZAC","AGS","Total","f",13,0.00703692203761836
"ZAC","AGS","Total","f",14,0.00703692203761836
"ZAC","AGS","Total","f",15,0.00929003447489379
"ZAC","AGS","Total","f",16,0.00929003447489379
"ZAC","AGS","Total","f",17,0.00929003447489379
"ZAC","AGS","Total","f",18,0.00929003447489379
"ZAC","AGS","Total","f",19,0.00929003447489379
"ZAC","AGS","Total","f",20,0.0116160681192668
"ZAC","AGS","Total","f",21,0.0116160681192668
"ZAC","AGS","Total","f",22,0.0116160681192668
"ZAC","AGS","Total","f",23,0.0116160681192668
"ZAC","AGS","Total","f",24,0.0116160681192668
"ZAC","AGS","Total","f",25,0.0115311473970635
"ZAC","AGS","Total","f",26,0.0115311473970635
"ZAC","AGS","Total","f",27,0.0115311473970635
"ZAC","AGS","Total","f",28,0.0115311473970635
"ZAC","AGS","Total","f",29,0.0115311473970635
"ZAC","AGS","Total","f",30,0.00922042256058836
"ZAC","AGS","Total","f",31,0.00922042256058836
"ZAC","AGS","Total","f",32,0.00922042256058836
"ZAC","AGS","Total","f",33,0.00922042256058836
"ZAC","AGS","Total","f",34,0.00922042256058836
"ZAC","AGS","Total","f",35,0.00694514604809768
"ZAC","AGS","Total","f",36,0.00694514604809768
"ZAC","AGS","Total","f",37,0.00694514604809768
