"Race","Sex","Age","lx"
"Total","Female","0",1e+05
"Total","Female","1",99590.3542976651
"Total","Female","2",99153.6545536981
"Total","Female","3",99108.068163637
"Total","Female","4",99075.6385742376
"Total","Female","5",99050.0409412252
"Total","Female","6",99031.0421801355
"Total","Female","7",99012.1136256747
"Total","Female","8",98993.1850712138
"Total","Female","9",98974.3022509808
"Total","Female","10",98955.4780897767
"Total","Female","11",98936.6575087852
"Total","Female","12",98911.4619507516
"Total","Female","13",98886.0397411645
"Total","Female","14",98853.9057146669
"Total","Female","15",98814.9177810385
"Total","Female","16",98768.964987518
"Total","Female","17",98716.0731125666
"Total","Female","18",98656.3276663467
"Total","Female","19",98589.8028331259
"Total","Female","20",98516.295676779
"Total","Female","21",98435.156654945
"Total","Female","22",98345.6231907845
"Total","Female","23",98247.3477643269
"Total","Female","24",98140.6769803187
"Total","Female","25",98026.1186647365
"Total","Female","26",97903.9587836897
"Total","Female","27",97773.9594285623
"Total","Female","28",97628.4732899885
"Total","Female","29",97474.1083508559
"Total","Female","30",97309.847118859
"Total","Female","31",97134.8362509907
"Total","Female","32",96956.500490961
"Total","Female","33",96767.3478318987
"Total","Female","34",96575.3173748155
"Total","Female","35",96372.4024750911
"Total","Female","36",96166.3993061904
"Total","Female","37",95948.41095554
"Total","Female","38",95717.7965347629
"Total","Female","39",95474.2398005777
"Total","Female","40",95217.7906777864
"Total","Female","41",94948.9657464544
"Total","Female","42",94668.466586199
"Total","Female","43",94368.235035832
"Total","Female","44",94040.3461774891
"Total","Female","45",93694.4757598793
"Total","Female","46",93320.3366309623
"Total","Female","47",92906.0501269034
"Total","Female","48",92457.7249629252
"Total","Female","49",91972.5323948222
"Total","Female","50",91447.8633953165
"Total","Female","51",90881.3766036485
"Total","Female","52",90271.0931569536
"Total","Female","53",89615.1818636155
"Total","Female","54",88890.2434426393
"Total","Female","55",88105.2443591277
"Total","Female","56",87246.7687101998
"Total","Female","57",86297.5019076899
"Total","Female","58",85260.8952781682
"Total","Female","59",84130.4849480135
"Total","Female","60",82900.103284843
"Total","Female","61",81561.4326509418
"Total","Female","62",80105.2192724823
"Total","Female","63",78526.1717752664
"Total","Female","64",76837.1264406389
"Total","Female","65",75038.2888089629
"Total","Female","66",73122.2871541533
"Total","Female","67",71088.4643041464
"Total","Female","68",68967.4022259147
"Total","Female","69",66739.3804212596
"Total","Female","70",64421.7427731901
"Total","Female","71",62028.4186396946
"Total","Female","72",59561.6712538576
"Total","Female","73",56985.7547826181
"Total","Female","74",54336.0445751402
"Total","Female","75",51628.5493611812
"Total","Female","76",48879.7485949318
"Total","Female","77",46064.4638853772
"Total","Female","78",43211.2865364203
"Total","Female","79",40347.3806061313
"Total","Female","80",37488.2498420453
"Total","Female","81",34638.906813799
"Total","Female","82",31781.2181384111
"Total","Female","83",28936.6551936838
"Total","Female","84",26113.1545116241
"Total","Female","85",23355.5515883103
"Total","Female","86",20688.2509072756
"Total","Female","87",18130.0706993556
"Total","Female","88",15701.8634775992
"Total","Female","89",13417.3710454075
"Total","Female","90",11282.6095944588
"Total","Female","91",9312.99939721304
"Total","Female","92",7550.66998436359
"Total","Female","93",6010.92551696396
"Total","Female","94",4678.34846552737
"Total","Female","95",3555.5448338008
"Total","Female","96",2618.83357888482
"Total","Female","97",1859.93168666642
"Total","Female","98",1268.92535632382
"Total","Female","99",824.801481610481
"Total","Female","100+",510.137332556771
"Total","Male","0",1e+05
"Total","Male","1",99361.3056256256
"Total","Male","2",98676.9861416466
"Total","Male","3",98620.6690183849
"Total","Male","4",98583.2914671178
"Total","Male","5",98558.7086377512
"Total","Male","6",98534.373154137
"Total","Male","7",98510.1185392067
"Total","Male","8",98485.8534690573
"Total","Male","9",98461.6420859907
"Total","Male","10",98437.5019346978
"Total","Male","11",98413.3543811752
"Total","Male","12",98383.0238870213
"Total","Male","13",98340.0873137361
"Total","Male","14",98284.0335573902
"Total","Male","15",98208.0994598697
"Total","Male","16",98105.3511703674
"Total","Male","17",97975.4791142774
"Total","Male","18",97811.8867297153
"Total","Male","19",97607.9543566702
"Total","Male","20",97362.6832567213
"Total","Male","21",97080.0434518566
"Total","Male","22",96749.7221868329
"Total","Male","23",96383.5127273981
"Total","Male","24",95975.4265453768
"Total","Male","25",95527.2472544366
"Total","Male","26",95025.6010684664
"Total","Male","27",94476.7642828105
"Total","Male","28",93886.3767540942
"Total","Male","29",93266.6154091553
"Total","Male","30",92620.8036450904
"Total","Male","31",91953.573865104
"Total","Male","32",91272.3776076832
"Total","Male","33",90586.5134785532
"Total","Male","34",89887.7654731377
"Total","Male","35",89183.3553322902
"Total","Male","36",88471.0213581209
"Total","Male","37",87748.0171971317
"Total","Male","38",87022.5271831
"Total","Male","39",86297.0294147929
"Total","Male","40",85576.46533706
"Total","Male","41",84848.3995847241
"Total","Male","42",84119.0162153724
"Total","Male","43",83375.4437692256
"Total","Male","44",82623.2124055696
"Total","Male","45",81846.9737474701
"Total","Male","46",81036.7428744903
"Total","Male","47",80188.3796012747
"Total","Male","48",79315.0541848571
"Total","Male","49",78412.1050251934
"Total","Male","50",77475.5425137312
"Total","Male","51",76501.9316653073
"Total","Male","52",75489.0302925143
