"Race","Sex","Age","Population"
"Total","Male",0,15882
"Total","Male",1,15772
"Total","Male",2,15765
"Total","Male",3,15828
"Total","Male",4,16039
"Total","Male",5,16198
"Total","Male",6,16248
"Total","Male",7,16237
"Total","Male",8,16269
"Total","Male",9,16313
"Total","Male",10,16304
"Total","Male",11,16221
"Total","Male",12,16036
"Total","Male",13,15785
"Total","Male",14,15526
"Total","Male",15,15285
"Total","Male",16,15098
"Total","Male",17,14960
"Total","Male",18,14853
"Total","Male",19,14706
"Total","Male",20,14447
"Total","Male",21,14083
"Total","Male",22,13712
"Total","Male",23,13434
"Total","Male",24,13246
"Total","Male",25,13105
"Total","Male",26,12948
"Total","Male",27,12762
"Total","Male",28,12532
"Total","Male",29,12233
"Total","Male",30,11895
"Total","Male",31,11566
"Total","Male",32,11269
"Total","Male",33,10977
"Total","Male",34,10677
"Total","Male",35,10350
"Total","Male",36,9993
"Total","Male",37,9636
"Total","Male",38,9317
"Total","Male",39,9064
"Total","Male",40,8895
"Total","Male",41,8803
"Total","Male",42,8785
"Total","Male",43,8827
"Total","Male",44,8899
"Total","Male",45,8946
"Total","Male",46,8932
"Total","Male",47,8858
"Total","Male",48,8734
"Total","Male",49,8572
"Total","Male",50,8382
"Total","Male",51,8178
"Total","Male",52,7962
"Total","Male",53,7735
"Total","Male",54,7508
"Total","Male",55,7282
"Total","Male",56,7030
"Total","Male",57,6753
"Total","Male",58,6468
"Total","Male",59,6179
"Total","Male",60,5885
"Total","Male",61,5585
"Total","Male",62,5294
"Total","Male",63,5025
"Total","Male",64,4776
"Total","Male",65,4526
"Total","Male",66,4253
"Total","Male",67,3993
"Total","Male",68,3774
"Total","Male",69,3594
"Total","Male",70,3461
"Total","Male",71,3347
"Total","Male",72,3225
"Total","Male",73,3097
"Total","Male",74,2961
"Total","Male",75,2818
"Total","Male",76,2659
"Total","Male",77,2493
"Total","Male",78,2333
"Total","Male",79,2172
"Total","Male",80,2004
"Total","Male",81,1837
"Total","Male",82,1677
"Total","Male",83,1525
"Total","Male",84,1379
"Total","Male",85,1241
"Total","Male",86,1110
"Total","Male",87,986
"Total","Male",88,867
"Total","Male",89,755
"Total","Male",90,648
"Total","Male",91,546
"Total","Male",92,456
"Total","Male",93,375
"Total","Male",94,303
"Total","Male",95,241
"Total","Male",96,186
"Total","Male",97,142
"Total","Male",98,107
"Total","Male",99,78
"Total","Male",100,152
"Total","Female",0,15325
"Total","Female",1,15246
"Total","Female",2,15222
"Total","Female",3,15278
"Total","Female",4,15480
"Total","Female",5,15639
"Total","Female",6,15694
"Total","Female",7,15691
"Total","Female",8,15726
"Total","Female",9,15772
"Total","Female",10,15772
"Total","Female",11,15705
"Total","Female",12,15561
"Total","Female",13,15384
"Total","Female",14,15210
"Total","Female",15,15049
"Total","Female",16,14935
"Total","Female",17,14866
"Total","Female",18,14825
"Total","Female",19,14748
"Total","Female",20,14564
"Total","Female",21,14286
"Total","Female",22,14003
"Total","Female",23,13808
"Total","Female",24,13699
"Total","Female",25,13633
"Total","Female",26,13547
"Total","Female",27,13431
"Total","Female",28,13271
"Total","Female",29,13044
"Total","Female",30,12777
"Total","Female",31,12516
"Total","Female",32,12290
"Total","Female",33,12082
"Total","Female",34,11886
"Total","Female",35,11683
"Total","Female",36,11457
"Total","Female",37,11220
"Total","Female",38,10990
"Total","Female",39,10782
"Total","Female",40,10611
"Total","Female",41,10478
"Total","Female",42,10389
"Total","Female",43,10343
"Total","Female",44,10313
"Total","Female",45,10247
"Total","Female",46,10114
"Total","Female",47,9923
"Total","Female",48,9693
"Total","Female",49,9439
"Total","Female",50,9173
"Total","Female",51,8905
"Total","Female",52,8639
"Total","Female",53,8372
"Total","Female",54,8117
"Total","Female",55,7864
"Total","Female",56,7587
"Total","Female",57,7282
"Total","Female",58,6968
"Total","Female",59,6652
"Total","Female",60,6327
"Total","Female",61,5995
"Total","Female",62,5676
"Total","Female",63,5381
"Total","Female",64,5108
"Total","Female",65,4833
"Total","Female",66,4538
"Total","Female",67,4259
"Total","Female",68,4020
"Total","Female",69,3820
"Total","Female",70,3672
"Total","Female",71,3549
"Total","Female",72,3416
"Total","Female",73,3277
"Total","Female",74,3131
"Total","Female",75,2980
"Total","Female",76,2816
"Total","Female",77,2644
"Total","Female",78,2480
"Total","Female",79,2314
"Total","Female",80,2139
"Total","Female",81,1964
"Total","Female",82,1793
"Total","Female",83,1628
"Total","Female",84,1471
"Total","Female",85,1321
"Total","Female",86,1176
"Total","Female",87,1038
"Total","Female",88,905
"Total","Female",89,781
"Total","Female",90,664
"Total","Female",91,555
"Total","Female",92,458
"Total","Female",93,373
"Total","Female",94,297
"Total","Female",95,234
"Total","Female",96,180
"Total","Female",97,135
"Total","Female",98,99
"Total","Female",99,70
"Total","Female",100,130
